,address,postal_code,latitude,longitude
183,Comtech 60 Alexandra Terrace Singapore 118502 Singapore ,118502,1.280248753,103.7974603
1736,295 Lorong 6 Toa Payoh Singapore 319388 Singapore ,319388,1.331766397,103.8544915
2259,Blk 190A Toa Payoh Central #01-522 Singapore 319196 Singapore ,319196,1.334044363,103.849357
5268,211 Marina Way Gardens By The Bay Singapore 018977 Singapore ,18977,1.284805899,103.8651999
5648,177A River Valley Rd #06 Singapore 179031 Singapore ,179031,1.292636291,103.8451738
6135,799 New Changi Rd #02-32/34 Bedok Point 467351 Singapore ,467351,1.326183796,103.9324355
6204,799 New Upper Changi Rd #03-35 Singapore 467351 Singapore ,467351,1.326183796,103.9324355
6542,799 Upper Changi Rd #02-05/06 Bedok Point Singapore Singapore ,467351,1.326183796,103.9324355
6543,1000 East Coast Parkway #01-02 Marine Cove Singapore 449876 Singapore ,449876,1.30200053,103.9141455
6544,865 Mountbatten Rd #B1-127/128 Singapore 437844 Singapore ,437844,1.304097312,103.9015159
6545,68 Bedok South Ave 3 Singapore 460068 Singapore ,460068,1.318750888,103.9433639
6546,No. 30 Jalan Pari Burong Singapore 488696 Singapore ,488696,1.333833802,103.9488126
7119,160 Queen St #01-63 Downtown Core 188555 Singapore ,188555,1.302999549,103.8561152
7317,262 Middle Rd Elias Building Sunshine Plaza Singapore 188989 Singapore ,188989,1.302579979,103.8505008
7670,486 Lorong 6 Toa Payoh #01-01A OrangeTee Building Singapore 319396 Singapore ,319396,1.333555866,103.8494086
7749,78-79 Boat Quay Singapore 049886 Singapore ,49886,1.289601715,103.8492665
8051,43 New Bridge Rd Singapore 059442 Singapore ,59442,1.289499115,103.8470784
8069,50 Market St Singapore 048940 Singapore ,48940,1.285500408,103.8497756
8231,43 New Bridge Road Singapore 059442 Singapore ,59442,1.28907007,103.846778
8327,"50 Market St #03-33, Golden Shoe Carpark Singapore 048940 Singapore ",48940,1.285500408,103.8497756
8438,17 Philip Street 01-01 singapore 0488695 Singapore 048695 Singapore ,48869,1.28545409,103.8498726
8948,"Blk 303, Choa Chu Kang Ave 4 #01-723 Singapore 680303 Singapore ",680303,1.385629157,103.7438938
9650,3 Punggol Point Road #01-03~05 S Singapore 828694 Singapore ,828694,1.421641924,103.9123599
9662,600 Ponggol Seventeenth Avenue Singapore 829734 Singapore ,829734,1.415351917,103.8991616
9675,Leong Ji Signatures Seafood Restaurant #02-10 Singapore 828694 Singapore ,828694,1.42184457,103.9122078
9678,3 Punggol Point Rd #01-01 & 01-02 Singapore 828694 Singapore ,828694,1.421684826,103.9121882
9686,3 Punggol Point Rd #01-11/12 The Punggol Settlement Singapore 828694 Singapore ,828694,1.421684826,103.9121882
9723,"3 Punggol Point Road #01-10, The Punggol Settlement Singapore 828694 Singapore ",828694,1.421684826,103.9121882
10793,95B Pulau Ubin North Eastern Islands 508325 Singapore ,508325,1.4076629,103.9658103
10899,25 Changi Coast Road Tanah Merah Country Club Singapore 499803 Singapore ,499803,1.330170383,103.979544
11271,49 Keong Saik Street Singapore 089153 Singapore ,89153,1.28169261,103.8415786
12374,60 Raffles Ave Singapore 039800 Singapore ,39800,1.290625988,103.8579785
12879,177 River Valley Rd #B1-03/04/05 Singapore 179030 Singapore ,179030,1.292600791,103.8444605
12890,177 River Valley Rd #01-25 Singapore 179030 Singapore ,179030,1.292600791,103.8444605
12894,"177 River Valley Rd #02-01/02, Liang Court Shopping Centre Singapore 179030 Singapore ",179030,1.292600791,103.8444605
12902,177 River Valley Rd Singapore 179030 Singapore ,179030,1.292600791,103.8444605
12932,177 River Valley Rd #B1-31 Singapore 179030 Singapore ,179030,1.292600791,103.8444605
13445,"Blk 18, 18E Dempsey Road Tanglin 246677 Singapore ",246677,1.307010606,103.8108466
16082,39 Artillery Ave Universal Studios Singapore 11 Sentosa East Mall Singapore 099054 Singapore ,99054,1.255374746,103.822044
16824,116 Upper Bukit Timah Rd #02-166 Singapore 588172 Singapore ,588172,1.341953781,103.7756156
16882,No 1 Stadium Place #01  22/22a Singapore 397638 Singapore ,397638,1.304338774,103.872618
17298,240 Tanjong Pagar Road 02-53 Singapore 088540 Singapore ,88540,1.276978102,103.8415093
17661,4 Tampines Ave 4 #B1-11 Singapore 529678 Singapore ,529678,1.353560165,103.9449302
17814,100 Selegie Rd Singapore 188308 Singapore ,188308,1.303277895,103.8500113
17817,2B Handy Rd Singapore 229237 Singapore ,229237,1.299691358,103.847269
19276,"3 Punggol Point Rd #02-07/08, Punggol Settlement Singapore 828694 Singapore ",828694,1.421727728,103.9121882
19301,"3 Punggol Point Rd 02-11, The Punggol Settlement Singapore 828694 Singapore ",828694,1.421727728,103.9121882
19318,600 Ponggol Seventeenth Ave Marina Country Club Singapore 829734 Singapore ,829734,1.41633084,103.8990153
19325,"600 Ponggol 17 Ave #1D, Ponggol Marina Country Club Singapore 829734 Singapore ",829734,1.41633084,103.8990153
19326,600 Ponggol 17th Avenue Marina Country Club Singapore 829734 Singapore ,829734,1.41633084,103.8990153
19344,"3 Punggol Point Road #02-06, The Punggol Settlement Singapore 828694 Singapore ",828694,1.421727728,103.9121882
20309,"177 River Valley Rd #B1-50, Liang Court Singapore 179030 Singapore ",179030,1.292600791,103.8444605
20315,"177 River Valley Rd #01-23/24, Liang Court Singapore 179030 Singapore ",179030,1.292600791,103.8444605
20374,229 Riv Vly Rd Singapore 238287 Singapore ,238287,1.294030123,103.8422351
20447,177 River Valley Rd #02-32 Liang Court Singapore 179030 Singapore ,179030,1.292600791,103.8444605
20594,4 Crest Rd Singapore 779651 Singapore ,779651,1.406503154,103.799764
20728,"799 New Changi Road, #01-01 Singapore 467351 Singapore ",467351,1.326140893,103.93265
20797,207B New Upper Changi Rd #B2-42/43 Singapore 467345 Singapore ,467345,1.326159389,103.929549
21747,60 Jurong Road Track 22 Singapore 649567 Singapore ,649567,1.361983463,103.7318749
